,연번,등급분류번호,게임물명,신청사,신청일자,결정일자,결정등급,접수번호,등급분류기관
0,1,CC-NA-220707-001,노인과바다 포커2,(주)한울소프트,2022-04-12,2022-07-07,청소년이용불가,DG-NA-22-00030,GRAC
1,2,CC-NA-220707-002,빅게임2,(주)한울소프트,2022-04-12,2022-07-07,청소년이용불가,DG-NA-22-00031,GRAC
2,3,CC-NA-220707-003,신도깨비2,드림전자,2022-04-19,2022-07-07,청소년이용불가,DG-NA-22-00033,GRAC
3,4,CC-NA-220707-004,드래곤 캐슬,엔디테크,2022-04-28,2022-07-07,청소년이용불가,DG-NA-22-00035,GRAC
4,5,CC-NA-220707-005,新西遊記Poker(신서유기포커),게임플러스,2022-05-10,2022-07-07,청소년이용불가,DG-NA-22-00042,GRAC
5,6,CC-NP-220707-001,New Tales From Borderlands (뉴 테일즈 프롬 더 보더랜드),테이크투인터랙티브유한회사,2022-05-11,2022-07-07,청소년이용불가,DG-NP-22-00112,GRAC
6,7,CC-NP-220707-002,New Tales from Borderlands Deluxe Edition (뉴 테일즈 프롬 더 보더랜드 딜럭스 에디션),테이크투인터랙티브유한회사,2022-06-13,2022-07-07,청소년이용불가,DG-NP-22-00147,GRAC
7,8,CC-NP-220707-003,Poker Pretty Girls Battle: Texas Holdem (포커 프리티 걸스 배틀 : 텍사스 홀덤),스마일게이트스토브,2022-06-27,2022-07-07,청소년이용불가,DG-NP-22-00165,GRAC
8,9,CC-NP-220707-004,Poker Pretty Girls Battle Fantasy World Edition (포커 프리티 걸스 배틀 판타지 월드 에디션),스마일게이트스토브,2022-06-27,2022-07-07,청소년이용불가,DG-NP-22-00166,GRAC
9,10,CC-NP-220707-005,드래곤 캐슬 PC,엔디테크,2022-05-26,2022-07-07,청소년이용불가,DG-NP-22-00123,GRAC
10,11,CC-NP-220707-006,POSTAL 4: No Regerts (포스탈4 : 후회는 ㅇ벗다),스마일게이트스토브,2022-06-20,2022-07-07,청소년이용불가,DG-NP-22-00152,GRAC
11,12,CC-NP-220707-007,호두맞고(Hodoo Matgo),배드엔터테인먼트,2022-06-13,2022-07-07,청소년이용불가,DG-NP-22-00142,GRAC
12,13,CC-NP-220707-008,호두바둑이(Hodoo Baduki),배드엔터테인먼트,2022-06-13,2022-07-07,청소년이용불가,DG-NP-22-00143,GRAC
13,14,CC-NP-220707-009,호두포커(Hodoo Poker),배드엔터테인먼트,2022-06-13,2022-07-07,청소년이용불가,DG-NP-22-00144,GRAC
14,15,CC-NP-220707-010,호두홀덤(Hodoo Holdem),배드엔터테인먼트,2022-06-13,2022-07-07,청소년이용불가,DG-NP-22-00145,GRAC
15,16,CC-NP-220707-011,피닉스 바카라,스테이 소포르,2022-06-16,2022-07-07,청소년이용불가,DG-NP-22-00149,GRAC
16,17,CC-NP-220707-012,피닉스 블랙잭,스테이 소포르,2022-06-16,2022-07-07,청소년이용불가,DG-NP-22-00150,GRAC
17,18,CC-NP-220707-013,피닉스 슬롯,스테이 소포르,2022-06-16,2022-07-07,청소년이용불가,DG-NP-22-00151,GRAC
18,19,CC-NV-220707-001,[PS4] 노 모어 히어로즈 3(No More Heroes 3),주식회사 세가퍼블리싱코리아,2022-06-24,2022-07-07,청소년이용불가,DG-NV-22-00023,GRAC
19,20,CC-OM-220707-001,Three Kingdoms: Hero Wars,"Shanghai Zhangbei Network Technology Co.,Ltd.",2022-06-20,2022-07-07,12세이용가,DG-OM-22-00092,GRAC
20,21,CC-OM-220707-002,제노사이드,(주)채플린게임,2022-06-20,2022-07-07,청소년이용불가,DG-OM-22-00095,GRAC
21,22,CC-OM-220707-003,슬롯 용이여 일어나라 (slot Dragon Awaken),소프트센즈,2022-06-22,2022-07-07,청소년이용불가,DG-OM-22-00098,GRAC
22,23,CC-OM-220707-004,툰게임즈_슬롯즈(Toongames_Slots),다담은 주식회사,2022-06-24,2022-07-07,청소년이용불가,DG-OM-22-00100,GRAC
23,24,CC-OV-220707-001,Hokko Life,TEAM 17 DIGITAL LIMITED,2022-06-24,2022-07-07,전체이용가,DG-OV-22-00015,GRAC
24,25,CC-OV-220707-002,사무라이 메이든 ~SAMURAI MAIDEN~,Clouded Leopard Entertainment Inc.,2022-06-23,2022-07-07,15세이용가,DG-OV-22-00014,GRAC
25,26,CC-OV-220707-003,영웅전설 여의 궤적 II -CRIMSON SiN-(英雄伝説 黎の軌跡Ⅱ-CRIMSON SiN-),Clouded Leopard Entertainment Inc.,2022-06-24,2022-07-07,15세이용가,DG-OV-22-00016,GRAC
26,27,CC-NP-220714-001,무법지대,주식회사 봄날소프트,2022-06-24,2022-07-14,청소년이용불가,DG-NP-22-00164,GRAC
27,28,CC-NV-220714-001,BAYONETTA 3(베요네타 3),한국닌텐도 주식회사,2022-07-08,2022-07-14,청소년이용불가,DG-NV-22-00024,GRAC
28,29,CC-NA-220728-001,묻고더블로가,진소프트,2022-05-16,2022-07-28,청소년이용불가,DG-NA-22-00044,GRAC
29,30,CC-NA-220728-002,십이지신(十二支神),디에스시스템,2022-05-26,2022-07-28,청소년이용불가,DG-NA-22-00045,GRAC
30,31,CC-NA-220728-003,고래사냥포커,국민소프트,2022-06-16,2022-07-28,청소년이용불가,DG-NA-22-00050,GRAC
31,32,CC-NA-220728-004,三大將(삼대장),PJ전자,2022-06-30,2022-07-28,청소년이용불가,DG-NA-22-00054,GRAC
32,33,CC-NA-220728-005,지화자,원소프트,2022-06-30,2022-07-28,청소년이용불가,DG-NA-22-00055,GRAC
33,34,CC-NP-220728-001,NEW火龍天下(뉴화룡천하),일맥소프트,2022-01-25,2022-07-28,청소년이용불가,DG-NP-22-00017,GRAC
34,35,CC-NP-220728-002,PGA Tour 2K23 (피쥐에이 투어 투케이23),테이크투인터랙티브유한회사,2022-06-24,2022-07-28,청소년이용불가,DG-NP-22-00163,GRAC
35,36,CC-NP-220728-003,땅콩맞고(Peanut Matgo),위닝소프트,2022-06-22,2022-07-28,청소년이용불가,DG-NP-22-00159,GRAC
36,37,CC-NP-220728-004,땅콩바둑이(Peanut Baduki),위닝소프트,2022-06-22,2022-07-28,청소년이용불가,DG-NP-22-00160,GRAC
37,38,CC-NP-220728-005,땅콩포커(Peanut Poker),위닝소프트,2022-06-22,2022-07-28,청소년이용불가,DG-NP-22-00161,GRAC
38,39,CC-NP-220728-006,땅콩홀덤(Peanut Holdem),위닝소프트,2022-06-22,2022-07-28,청소년이용불가,DG-NP-22-00162,GRAC
39,40,CC-NP-220728-007,No Place For Bravery (노 플레이스 포 브레이버리),바다게임즈,2022-06-28,2022-07-28,청소년이용불가,DG-NP-22-00167,GRAC
40,41,CC-NP-220728-008,The Outer World: Spacer＇s Choice Edition (아우터 월드: 스페이서스 초이스 에디션),테이크투인터랙티브유한회사,2022-07-05,2022-07-28,청소년이용불가,DG-NP-22-00168,GRAC
41,42,CC-NP-220728-009,대항해시대 ORIGIN,라인게임즈 주식회사,2022-07-15,2022-07-28,청소년이용불가,DG-NP-22-00176,GRAC
42,43,CC-NP-220728-010,파워샷 맞고(POWERSHOT Matgo),(주)에프소프트,2022-07-07,2022-07-28,청소년이용불가,DG-NP-22-00171,GRAC
43,44,CC-NP-220728-011,파워샷 바둑이(POWERSHOT Baduki),(주)에프소프트,2022-07-07,2022-07-28,청소년이용불가,DG-NP-22-00170,GRAC
44,45,CC-NP-220728-012,파워샷 홀덤(POWERSHOT Holdem),(주)에프소프트,2022-07-07,2022-07-28,청소년이용불가,DG-NP-22-00172,GRAC
45,46,CC-NP-220728-013,파워샷 포커(POWERSHOT Poker),(주)에프소프트,2022-07-07,2022-07-28,청소년이용불가,DG-NP-22-00173,GRAC
46,47,CC-NP-220728-014,Evil West (이블 웨스트),(주)에이치투인터렉티브,2022-07-12,2022-07-28,청소년이용불가,DG-NP-22-00174,GRAC
47,48,CC-OM-220728-001,PK월드(PK world),주식회사 앤엑스유,2022-06-28,2022-07-28,청소년이용불가,DG-OM-22-00101,GRAC
48,49,CC-OM-220728-002,땅콩맞고M (peanutMatgoM),위닝소프트,2022-06-22,2022-07-28,청소년이용불가,DG-OM-22-00096,GRAC
49,50,CC-OM-220728-003,땅콩바둑이M (peanutBadukiM),위닝소프트,2022-06-22,2022-07-28,청소년이용불가,DG-OM-22-00097,GRAC
50,51,CC-OM-220728-004,"플레이포커 : 블랙카지노 슬롯, 홀덤, 바카라, 7포커, 로우바둑이",라이트컨,2022-06-22,2022-07-28,청소년이용불가,DG-OM-22-00099,GRAC
51,52,CC-OM-220728-005,픽메이커 포 인타임(PICKMAKER for INTIME)APP,㈜뱅크런,2022-07-12,2022-07-28,청소년이용불가,DG-OM-22-00106,GRAC
52,53,CC-OP-220728-001,The Secret of Retropolis,Peanut Button LTD,2022-07-08,2022-07-28,청소년이용불가,DG-OP-22-00027,GRAC
53,54,DS-NA-22-00007,바다신2,진소프트,2022-07-05,2022-07-07,등급거부(확정),,GRAC
54,55,DG-OM-22-00091,피망 카지노:로얄,주식회사 네오위즈,2022-06-15,2022-07-07,등급거부(예정),,GRAC
55,56,DG-NP-22-00139,2winchance (투윈챈스),주식회사 메타록,2022-06-08,2022-07-14,등급거부(예정),,GRAC
56,57,DS-NA-22-00008,아라비안2.2,SSS소프트웨어,2022-07-11,2022-07-14,등급거부(확정),,GRAC
57,58,DG-NA-22-00037,동해야,인스소프트,2022-05-03,2022-07-28,등급거부(예정),,GRAC
58,59,DG-NP-22-00175,다찌볼 슬롯(DOTGEBALL SLOT),주식회사 주엔터테인먼트,2022-07-14,2022-07-28,등급거부(예정),,GRAC
59,60,DS-NP-22-00008,2winchance (투윈챈스),주식회사 메타록,2022-07-20,2022-07-28,등급거부(확정),,GRAC
60,61,DS-OM-22-00007,피망 포커 : 카지노,주식회사 네오위즈,2022-06-20,2022-07-28,등급거부(확정),,GRAC
61,62,DU-NA-22-00003,띵호와,부해전자,2022-07-28,,등급분류취소(예정),,GRAC
62,63,DU-OM-22-00003,TheSeaBack(돌아온바다),푸른전자,2022-07-28,,등급분류취소(예정),,GRAC
63,64,DU-OM-22-00004,Under The Sea (언더더씨),김동현,2022-07-28,,등급분류취소(예정),,GRAC
64,65,DS-NP-22-00013,매그넘 맞고(Magma Matgo),DF ENTERTAINMENT,2022-06-23,2022-08-11,등급분류취소(확정),,GRAC
65,66,DS-NP-22-00012,매그넘 바둑이(Magma Baduki),DF ENTERTAINMENT,2022-06-23,2022-08-11,등급분류취소(확정),,GRAC
66,67,DS-NP-22-00011,매그넘 포커(Magma Poker),DF ENTERTAINMENT,2022-06-23,2022-08-11,등급분류취소(확정),,GRAC
67,68,DS-NP-22-00010,매그넘 홀덤(Magma Holdem,DF ENTERTAINMENT,2022-06-23,2022-08-11,등급분류취소(확정),,GRAC
68,69,DS-NA-22-00010,SeaTour Legend (씨투어 레전드),아이콘소프트,2022-06-23,2022-08-11,등급분류취소(확정),,GRAC
69,70,DS-OM-22-00009,Batwo(바투),포인트소프트웨어,2022-05-19,2022-08-11,등급분류취소(확정),,GRAC
70,71,DS-OM-22-00010,바다짱(badajjang),오륭전자,2022-06-10,2022-08-11,등급분류취소(확정),,GRAC
71,72,GC-CC-NP-220708-001,일루시온,(주)스마일게이트스토브,2022-06-20,2022-07-08,15세이용가,GC-DG-NP-22-00167,GCRB
72,73,GC-CC-NP-220708-002,INMOST (인모스트),(주)스마일게이트스토브,2022-06-20,2022-07-08,12세이용가,GC-DG-NP-22-00168,GCRB
73,74,GC-CC-NP-220708-003,The Escape : 공포의 예배당 (더 이스케이프 : 공포의 예배당),(주)스마일게이트스토브,2022-06-20,2022-07-08,12세이용가,GC-DG-NP-22-00169,GCRB
74,75,GC-CC-NP-220708-004,Lucky and a life worth living - a jigsaw puzzle tale (럭키와 멋진 삶- 직소 퍼즐 이야기),(주)스마일게이트스토브,2022-06-20,2022-07-08,전체이용가,GC-DG-NP-22-00171,GCRB
75,76,GC-CC-NP-220708-005,Buddy and Lucky Solitaire (버디 앤 럭키 솔리테어),(주)스마일게이트스토브,2022-06-20,2022-07-08,전체이용가,GC-DG-NP-22-00172,GCRB
76,77,GC-CC-NP-220708-006,How Buddy’s parents met - jigsaw puzzle (버디의 부모님은 어떻게 만났을까 - 직소 퍼즐 이야기),(주)스마일게이트스토브,2022-06-20,2022-07-08,전체이용가,GC-DG-NP-22-00173,GCRB
77,78,GC-CC-NP-220708-007,Magic Lessons in Wand Valley (완드 계곡의 마법 수업 - 직소 퍼즐 이야기),(주)스마일게이트스토브,2022-06-20,2022-07-08,전체이용가,GC-DG-NP-22-00174,GCRB
78,79,GC-CC-NP-220708-008,My Little Prince - a jigsaw puzzle tale (어린왕자 - 직소 퍼즐 이야기),(주)스마일게이트스토브,2022-06-20,2022-07-08,전체이용가,GC-DG-NP-22-00175,GCRB
79,80,GC-CC-NP-220708-009,Tactics Ogre: Reborn (택틱스 오거: 리본),반다이남코 엔터테인먼트 코리아(주),2022-06-20,2022-07-08,12세이용가,GC-DG-NP-22-00176,GCRB
80,81,GC-CC-NP-220708-015,DORAEMON STORY OF SEASONS Friends of the Great Kingdom (도라에몽 진구의 목장 이야기 대자연의 왕국과 모두의 집),반다이남코 엔터테인먼트 코리아(주),2022-06-21,2022-07-08,전체이용가,GC-DG-NP-22-00178,GCRB
81,82,GC-CC-NP-220708-017,The Sims™ 4 하이스쿨 라이프 (더 심즈 4 하이스쿨 라이프),일렉트로닉아츠코리아 (유),2022-06-22,2022-07-08,15세이용가,GC-DG-NP-22-00179,GCRB
82,83,GC-CC-NV-220708-001,The Sims™ 4 High School Years (The Sims™ 4 하이스쿨 라이프),일렉트로닉아츠코리아 (유),2022-06-22,2022-07-08,15세이용가,GC-DG-NV-22-00039,GCRB
83,84,GC-CC-NP-220708-014,Kona II: Brume (코나 II:안개),바다게임즈,2022-06-22,2022-07-08,15세이용가,GC-DG-NP-22-00180,GCRB
84,85,GC-CC-NV-220708-003,[Switch] 요마와리3: 떠도는 밤(夜廻三),주식회사 세가퍼블리싱코리아,2022-06-23,2022-07-08,15세이용가,GC-DG-NV-22-00040,GCRB
85,86,GC-CC-NP-220708-018,NBA 2K23 (엔비에이 투케이23),테이크투인터랙티브유한회사,2022-06-24,2022-07-08,12세이용가,GC-DG-NP-22-00181,GCRB
86,87,GC-CC-NV-220708-002,MARIO ＋ RABBIDS Sparks of Hope (마리오 ＋ 래비드 반짝이는 희망) Switch,유비소프트엔터테인먼트,2022-06-24,2022-07-08,전체이용가,GC-DG-NV-22-00041,GCRB
87,88,GC-CC-NP-220708-016,이터널 코쿤,(주)스마일게이트스토브,2022-06-24,2022-07-08,12세이용가,GC-DG-NP-22-00182,GCRB
88,89,GC-CC-NP-220708-019,Box to the Box (박스 투 더 박스),(주)스마일게이트스토브,2022-06-24,2022-07-08,전체이용가,GC-DG-NP-22-00183,GCRB
89,90,GC-CC-NP-220708-021,Galaxy Tales: Story of Rapunzel (갤럭시 테일즈: 스토리 오브 라푼젤),(주)스마일게이트스토브,2022-06-24,2022-07-08,전체이용가,GC-DG-NP-22-00184,GCRB
90,91,GC-CC-NP-220708-022,폭스레인저,주식회사 빅콤,2022-06-27,2022-07-08,전체이용가,GC-DG-NP-22-00185,GCRB
91,92,GC-CC-NP-220708-013,Alice in Wonderland - a jigsaw puzzle tale (이상한 나라의 앨리스 - 직소 퍼즐 이야기),(주)스마일게이트스토브,2022-06-27,2022-07-08,전체이용가,GC-DG-NP-22-00186,GCRB
92,93,GC-CC-NP-220708-012,Instant Farmer - Logic Puzzle (인스턴트 파머 - 로직 퍼즐),(주)스마일게이트스토브,2022-06-27,2022-07-08,전체이용가,GC-DG-NP-22-00187,GCRB
93,94,GC-CC-NP-220708-011,Pepo (페포),(주)스마일게이트스토브,2022-06-27,2022-07-08,전체이용가,GC-DG-NP-22-00188,GCRB
94,95,GC-CC-NP-220708-010,Peglin (페글린),(주)스마일게이트스토브,2022-06-27,2022-07-08,전체이용가,GC-DG-NP-22-00189,GCRB
95,96,GC-CC-NV-220708-004,Little Witch Nobeta (작은 마녀 노베타),(주) 에이치투인터렉티브,2022-06-28,2022-07-08,12세이용가,GC-DG-NV-22-00042,GCRB
96,97,GC-CC-NP-220708-024,ROCKMAN EXE ADVANCED COLLECTION (록맨 에그제 어드밴스드 컬렉션) Vol.2,게임피아,2022-06-28,2022-07-08,전체이용가,GC-DG-NP-22-00190,GCRB
97,98,GC-CC-NP-220708-023,ROCKMAN EXE ADVANCED COLLECTION (록맨 에그제 어드밴스드 컬렉션) Vol.1,게임피아,2022-06-28,2022-07-08,전체이용가,GC-DG-NP-22-00191,GCRB
98,99,GC-CC-NV-220708-005,ASTRO CITY mini V (아스트로시티 미니 V),(주)유니아나,2022-06-29,2022-07-08,15세이용가,GC-DG-NV-22-00043,GCRB
99,100,GC-CC-NP-220708-026,에이지 오브 솔리테어 : 문명 건설,에그타르트 주식회사,2022-07-01,2022-07-08,전체이용가,GC-DG-NP-22-00199,GCRB
100,101,GC-CC-NP-220708-020,Ceilless (천장리스),(주)스마일게이트스토브,2022-07-01,2022-07-08,전체이용가,GC-DG-NP-22-00192,GCRB
101,102,GC-CC-NP-220708-025,The Lord of the Rings™: Gollum™ (반지의 제왕™: 골룸™),(주) 에이치투인터렉티브,2022-07-01,2022-07-08,12세이용가,GC-DG-NP-22-00197,GCRB
102,103,GC-CC-NP-220722-001,트리플 판타지,주식회사 네오위즈,2022-06-21,2022-07-22,12세이용가,GC-DG-NP-22-00177,GCRB
103,104,GC-CC-NV-220722-001,초차원게임 넵튠 Sisters vs Sisters,(주) 에이치투인터렉티브,2022-06-30,2022-07-22,15세이용가,GC-DG-NV-22-00045,GCRB
104,105,GC-CC-NP-220722-004,Mists of Noyah (미스트 오브 노야),(주)스마일게이트스토브,2022-07-01,2022-07-22,12세이용가,GC-DG-NP-22-00193,GCRB
105,106,GC-CC-NP-220722-006,Flowers -Le volume sur printemps- (플라워즈 -봄편-),(주)스마일게이트스토브,2022-07-01,2022-07-22,12세이용가,GC-DG-NP-22-00194,GCRB
106,107,GC-CC-NP-220722-007,Flowers -Le volume sur ete- (플라워즈 -여름편-),(주)스마일게이트스토브,2022-07-01,2022-07-22,12세이용가,GC-DG-NP-22-00195,GCRB
107,108,GC-CC-NP-220722-008,Flowers -Le volume sur automne- (플라워즈 -가을편-),(주)스마일게이트스토브,2022-07-01,2022-07-22,12세이용가,GC-DG-NP-22-00196,GCRB
108,109,GC-CC-NP-220722-003,Lost Eidolons(로스트 아이돌론스),주식회사 오션드라이브스튜디오,2022-07-01,2022-07-22,15세이용가,GC-DG-NP-22-00198,GCRB
109,110,GC-CC-NP-220722-016,열혈경파 쿠니오군 외전 리버시티 걸즈 2,아크시스템웍스주식회사 아시아지점,2022-07-04,2022-07-22,12세이용가,GC-DG-NP-22-00200,GCRB
110,111,GC-CC-NP-220722-017,[PC] 소닉 프론티어(SONIC FRONTIERS),주식회사 세가퍼블리싱코리아,2022-07-06,2022-07-22,전체이용가,GC-DG-NP-22-00201,GCRB
111,112,GC-CC-NP-220722-002,Police Simulator: Patrol Officers (폴리스 시뮬레이터: 패트롤 오피서),(주)메이플라워엔터테인먼트,2022-07-06,2022-07-22,12세이용가,GC-DG-NP-22-00202,GCRB
112,113,GC-CC-NP-220722-018,Rune Teller (룬 텔러),코드라이프,2022-07-07,2022-07-22,12세이용가,GC-DG-NP-22-00204,GCRB
113,114,GC-CC-NV-220722-002,Ultra Kaiju Monster Rancher (울트라 괴수 몬스터팜),반다이남코 엔터테인먼트 코리아(주),2022-07-07,2022-07-22,전체이용가,GC-DG-NV-22-00046,GCRB
114,115,GC-CC-NP-220722-019,[PC]소울 해커즈 2(ソウルハッカーズ２),주식회사 세가퍼블리싱코리아,2022-07-07,2022-07-22,15세이용가,GC-DG-NP-22-00205,GCRB
115,116,GC-CC-NP-220722-021,던전클릭,아바타게임스튜디오,2022-07-12,2022-07-22,12세이용가,GC-DG-NP-22-00215,GCRB
116,117,GC-CC-NP-220722-011,Shift Quantum (시프트 퀀텀),(주)스마일게이트스토브,2022-07-12,2022-07-22,12세이용가,GC-DG-NP-22-00206,GCRB
117,118,GC-CC-NP-220722-009,Active DBG: Brave＇s Rage (브레이브 레이지),(주)스마일게이트스토브,2022-07-12,2022-07-22,12세이용가,GC-DG-NP-22-00207,GCRB
118,119,GC-CC-NP-220722-010,Nanotale-Typing Chronicles (나노테일-타이핑 크로니클),(주)스마일게이트스토브,2022-07-12,2022-07-22,전체이용가,GC-DG-NP-22-00208,GCRB
119,120,GC-CC-NP-220722-005,Immortal Life (이모탈 라이프),(주)스마일게이트스토브,2022-07-12,2022-07-22,전체이용가,GC-DG-NP-22-00209,GCRB
